product_name,jumia,kilimall,cheapest,timestamp
"Vision Plus VP8850QV 50"" QLED 4K Smart TV – Netflix/YouTube/Prime Video, Inbuilt Decoder, Dolby Audio, Quantum Dot Display + Free Wall Mount (2YRS WRTY)",35666,,jumia,25:56.1
"Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)",16743,17999,jumia,25:56.1
"Vitron HTC3288QS, 32 inch QLED Smart Android TV, QLED Smart TV, Android TV, Q LED - Black (1YR WRTY)",11320,12830,jumia,25:56.1
"Lyons LST5504W 55 inch Dolby Vision 4K Frameless Android 14 Smart TV - WiFi, Netflix, YouTube, Miracast, HDMI, Bluetooth - Black",33579,,jumia,25:56.1
"Hisense 43A4, 43"" INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS+FREE TV GUARD+BRACKET",24695,,jumia,25:56.1
"Hisense 43'' Inch Smart FHD Frameless,SMART & DIGITAL LED TELEVISION+BRACKET+GUARD",24890,,jumia,25:56.1
Vision Plus VP2111SB Immersive Sound 2.1 CH Sound Bar 240W - Black (2 YRs WRTY),8499,,jumia,25:56.1
Amtec AM-308 3.1CH X-BASS Multimedia Home Theater System – 12000W PMPO - Black (1YR WRTY),3929,,jumia,25:56.1
"AILYONS SB502K 2.1 CH Subwoofer / Sound Bar Multimedia Speaker System, BT/USB/SD/FM - (1YR WRTY)",4899,,jumia,25:56.1
AILIPU KL-6305AD 3.1CH SPEAKER Woofer Subwoofer Bluetooth Cinema Home theater System Bluetooth Hi-Fi Speaker Speaker System AC/DC Subwoofer Bluetooth USB/SD/FM Woofer (1YR WRTY),3589,,jumia,25:56.1
"Globalstar GLOBALSTAR 32UK64 , 32INCH Smart Android TV, Netflix, Youtube - Black",11112,,jumia,25:56.1
"Euroken HS-22LS19T2 19"" Inch Digital LED TV - HD Clear Color, Inbuilt Decoder, HDMI & USB",3999,,jumia,25:56.1
"Gld 32"" Smart Frameless HD LED Television - Black",13795,,jumia,25:56.1
"Skyworth 65Q6500H, 65"" 4K QLED Smart Google TV, Black (1YR WRTY)",74999,,jumia,25:56.1
"K-Elec 55"" 4K Google Smart LED TV | Dolby Atmos Soundbar | Netflix & YouTube | 36-Month Warranty | FREE TV Guard + FREE Wall Mount",41999,,jumia,25:56.1
Lenovo Thinkplus K30 Portable Bluetooth Wireless Speaker Waterproof USB Outdoor Loudspeaker Music Surround Bass Box Speakers,797,,jumia,25:56.1
"Bluetooth Speaker 4D Subwoofer Wired Speaker For Laptop,TV",1059,,jumia,25:56.1
GUIXIA XG88Pro Smart Bluetooth 5.3 Sunglasses Earphones,900,,jumia,25:56.1
"Indoor Amplified HD Digital TV Antenna, VHF Or UHF Amplifier",896,,jumia,25:56.1
"LASA LASA 3.5mm Microphone for Smartphones, PC, DSLR Cameras & Camcorders – Plug & Play, Clear Audio, Universal Compatibility",1219,,jumia,25:56.1
"addigoes Extension Socket With USB, Power Extension Box with Surge Protection, 4 AC Sockets & 4 USB Ports (3 USB + 1 Type-C), USB Extension Socket with Overload Protection, LED Indicator, 2M Extension Cord for Home Office",799,,jumia,25:56.1
Women Watch Men Smart Watches Sports Fintess Watches,1190,,jumia,25:56.1
Mini Karaoke Machine With Wireless Microphones,3200,,jumia,25:56.1
Rashnik TV Wall Mount TV Stand For 14” - 42” - Black,161,,jumia,25:56.1
LUMINOUS ISTANBUL 2 TV CONSOLE 4FT WITH CABINET,4539,,jumia,25:56.1
"Skilltech 15"" To 43"" inches Tilting Wall Mount Bracket",445,,jumia,25:56.1
MK Tv GUARD And 4 Way Extension Cable,850,1120,jumia,25:56.1
Dstv Full kit (1YR WRTY),2250,,jumia,25:56.1
"Mexico Modern Wooden TV Stand For Up To 55"" TV",3490,,jumia,25:56.1
Power King Best 4 Way Power Extension With Long Cable - White,299,,jumia,25:56.1
"ROTATING 14""-55"" TILT ROTATING WALL MOUNT BRACKET",660,,jumia,25:56.1
Extension Cables 6 Way With 3 USB Ports Multiplug Power Extension Socket Power Cables.,649,,jumia,25:56.1
"14-43 inches, 17'', 19'', 24'', 32'', 43'' Fixed TV Wall Mount Bracket",249,,jumia,25:56.1
"TCL 55"" Inch,FRAMELESS,BLUETOOTH,Smart UHD 4K With HDR Google TV+360 BRACKET+TV GUARD",43999,,jumia,25:56.1
"Hisense 55"" Inch 4K UHD SMART BLUETOOTH TV-2024 MODEL+FREE 360 WALL BRACKET",43999,,jumia,25:56.1
Nobel 5.1 CH Top Bass-Home Theatre System/USB/Radio -22000W,12790,,jumia,25:56.1
Istanbul 2 Modern TV Stand With LED Light - White & Black,4539,,jumia,25:56.1
Nobel 5.1CH Home Theatre Speaker System 80W R.M.S Sub Woofer P.M.P.O 22000W Bluetooth Radio F.M/Aux Ready Super Bass Surround Sound Remote Control & LED Light,13290,,jumia,25:56.1
"Official Store
Amtec AM-02 2.1CH Multimedia Speaker BT/USB/SD/FM - Black (1YR WRTY)",5100,,jumia,25:56.1
"Official Store
Amaze Fridge/Freezer Guard/13A - UnderVoltage & Surge Protection",485,,jumia,25:56.1
"Official Store
Vitron V51SB- 2.1ch Soundbar System with Bluetooth, Black (1YR WRTY)",4840,,jumia,25:56.1
"OUT OF STOCK
Official Store
Lyons LYS2403 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY)",2299,,jumia,25:56.1
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",649,,jumia,25:56.1
Power King Iron Box And Electric Kettle Support 5 Way Power Extension-White// Blue,540,,jumia,25:56.1
"Official Store
Amaze TV Guard Voltage Power Protector 13A - Surge Protector",499,,jumia,25:56.1
"Official Store
Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",399,,jumia,25:56.1
Digital LCD hair clipper - Long battery life-gold,3700,,jumia,25:56.1
"Portable Bluetooth AM/FM Radio with MP3 Playback & Solar Panel,Outdoor Portable Design",2699,,jumia,25:56.1
Ultrapods Max Wireless Bluetooth 5.3 In Ear Transparent Earphones Wireless Headphone Affordable Bluetooth EàrBuds Headset Aírpods,405,,jumia,25:56.1
"Home Portable FM/AM 8-Band Radio, Bluetooth/USB/TF Music Player, Flashlight (Silver)",2552,,jumia,25:56.1
MXQ Pro Android 12 TV Box 4GB RAM 32GB ROM 4K Ultra HD 2.4G/5G Dual WiFi Smart Media Player Set Top Box,2217,,jumia,25:56.1
"JERTECH Bluetooth Speaker for Computer Desktop Subwoofer, Audio Combo Set",3136,,jumia,25:56.1
"HD Night Vision Driving Glasses with Polarized Lenses, Anti-Glare Wrap-Around Fit Over Prescription Eyewear for Men and Women, Yellow Tint",1173,,jumia,25:56.1
"Apple Original iPhone Wired Earphones with Lightning Connector, Built-in Mic & Volume Control – Compatible with iPhone 14/13/12/11 Pro Max, XS, XR, 8/7 Plus & All iOS Devices – Premium Sound & Durability (White)",1799,,jumia,25:56.1
"4K DisplayPort To HDMI 4K@60Hz, 2K@165Hz For Computer Laptop",804,,jumia,25:56.1
Hidden Spy Camera 1080P HD WiFi Clock Cameras Wireless Home Security Nanny Cam,9999,,jumia,25:56.1
"Wired in-ear headphones with high-quality microphone, 9D sound effects, 1.5-meter cable, 3.5mm plug, black",1620,,jumia,25:56.1
New LIGE Round Smart Watches Men/Women Full Touch Screen Sport Fitness Smart Watch IP67 Waterproof Bluetooth For Android ios Smartwatches Smart Wearable Fitness Electronic Clock,,1299,kilimall,25:56.1
120W USB C Plug 4-Port Charger Plugs Fast Charging Travel Plug Adapter with 2 usb and 2 PD Port Wall Charging Head Universal Power Charging Compatible with Most Electronic Products,,359,kilimall,25:56.1
RichRipple Men and women Sports LED Watch Silicone Colorful Watch Electronic Clock Digital Fashion Clock Smart Watch,,149,kilimall,25:56.1
"KingNote 20000mAh X 2 Power Charging Bank Two pieces in combination portable SUPER Fast charde, charger cell phone, Bluetooth headset and other mobile electronic products",,1560,kilimall,25:56.1
"【Clearance Sale】5-in-1 Electronics Cleaner Kit- Laptop Screen Cleaner kit,Multifunctional Bluetooth Earphones Cleaning Tool for iPhone Charging Port,Headphone,Earphone,Phone Speaker,Earpods",,199,kilimall,25:56.1
"20000mAh Light Beam Power Bank with Fast Charging, Built-in Cables & LED Display portable charde, charger cell phone, Bluetooth headset and other mobile electronic products",,1000,kilimall,25:56.1
Mini 25-in-1 Small Tri Circle Magnetic Precision Screwdriver Set Magnetic Mini Repair Electronics Phone PC Ratchet Drill Socket Repair Tool Bit Portable Professional Kit Set,,289,kilimall,25:56.1
Tagwood 7500W 2.1CH Multimedia Bluetooth Woofer Speaker System Subwoofer Soundbar BT/USB/SD/FM Subwoofer Home Audilo System Soundbar with Remote Control S1 Speaker bass,,3899,kilimall,25:56.1
"【Limited Offer】Euroken EK-26LC24T2 24"" Inch With CAST TV function Full Screen Display Television Ac/dc Digital Led Tv With Inbuilt Decoder For Local Channels Wide Color Enhancer, Usb Hdmi Ports",,4899,kilimall,25:56.1
Y68 Waterproof Smart Watch Bluetooth Watch SmartWatch for Women Electronic Watch for Kids Men Fitness Tracker Men Women Sports Watches Wrist watch Smart Beacelet Kids Smartwatch Kids Watch,,703,kilimall,25:56.1
Wireless Headset Over Ear earphone Noise Cancelling Bluetooth-Compatible 5.0 Sports Game Headset Built-in Mic Applicable to mobile phones computers and electronic products Local fast delivery,,540,kilimall,25:56.1
"Smart LCD Writing Tablet, 8.5 Inch Graphics Tablet Electronic Writing Drawing Colorful Screen Doodle Board For kids",,338,kilimall,25:56.1
Smart Watches Men's Sport Casual LED Watches Men Digital Clock Multi-Functional Rubber Man Fitness Army Military Electronic Watch,,449,kilimall,25:56.1
30W Universal AC to DC Power Adapter - Multi Output Voltages 3V 4.5V 5V 6V 7.5V 9V 12V Switching Power Supply with 8 Selectable Adapter Plugs for Routers Speakers Household Electronic (MAX 2A/2000mA),,1300,kilimall,25:56.1
